# Roman WFI Filter Transmission Curve
# Filter Name: F158
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 1.363	     0.0000000
 1.364	     0.0000000
 1.365	     0.0000000
 1.366	     0.0000063
 1.367	     0.0000253
 1.368	     0.0000722
 1.369	     0.0002001
 1.370	     0.0005092
 1.371	     0.0012060
 1.372	     0.0026488
 1.373	     0.0054167
 1.374	     0.0103571
 1.375	     0.0185404
 1.376	     0.0311777
 1.377	     0.0494318
 1.378	     0.0741996
 1.379	     0.1059384
 1.380	     0.1445292
 1.381	     0.1892688
 1.382	     0.2388120
 1.383	     0.2912270
 1.384	     0.3440917
 1.385	     0.3947320
 1.386	     0.4406231
 1.387	     0.4797713
 1.388	     0.5108881
 1.389	     0.5337710
 1.390	     0.5494067
 1.391	     0.5594078
 1.392	     0.5652235
 1.393	     0.5681244
 1.394	     0.5693684
 1.395	     0.5698928
 1.396	     0.5701614
 1.397	     0.5703590
 1.398	     0.5704312
 1.399	     0.5702944
 1.400	     0.5700790
 1.401	     0.5699511
 1.402	     0.5699258
 1.403	     0.5699752
 1.404	     0.5700043
 1.405	     0.5699410
 1.406	     0.5697991
 1.407	     0.5696357
 1.408	     0.5694824
 1.409	     0.5693570
 1.410	     0.5691733
 1.411	     0.5688743
 1.412	     0.5686375
 1.413	     0.5686146
 1.414	     0.5686261
 1.415	     0.5684905
 1.416	     0.5682764
 1.417	     0.5681117
 1.418	     0.5680471
 1.419	     0.5680902
 1.420	     0.5681383
 1.421	     0.5681383
 1.422	     0.5682384
 1.423	     0.5685678
 1.424	     0.5689807
 1.425	     0.5692949
 1.426	     0.5694406
 1.427	     0.5694342
 1.428	     0.5694178
 1.429	     0.5695027
 1.430	     0.5696293
 1.431	     0.5696965
 1.432	     0.5697345
 1.433	     0.5697750
 1.434	     0.5698447
 1.435	     0.5699346
 1.436	     0.5700182
 1.437	     0.5700828
 1.438	     0.5700879
 1.439	     0.5700499
 1.440	     0.5700524
 1.441	     0.5701816
 1.442	     0.5703375
 1.443	     0.5704236
 1.444	     0.5704312
 1.445	     0.5703894
 1.446	     0.5703552
