# Roman WFI Filter Transmission Curve
# Filter Name: F129
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 1.369	     0.5711355
 1.370	     0.5710975
 1.371	     0.5710342
 1.372	     0.5709848
 1.373	     0.5709670
 1.374	     0.5709822
 1.375	     0.5710190
 1.376	     0.5710608
 1.377	     0.5710836
 1.378	     0.5710468
 1.379	     0.5709531
 1.380	     0.5708594
 1.381	     0.5708264
 1.382	     0.5708100
 1.383	     0.5707466
 1.384	     0.5706123
 1.385	     0.5704135
 1.386	     0.5702703
 1.387	     0.5702728
 1.388	     0.5703032
 1.389	     0.5702412
 1.390	     0.5702488
 1.391	     0.5704502
 1.392	     0.5706288
 1.393	     0.5705503
 1.394	     0.5703691
 1.395	     0.5702716
 1.396	     0.5702918
 1.397	     0.5704021
 1.398	     0.5704439
 1.399	     0.5702944
 1.400	     0.5700803
 1.401	     0.5699511
 1.402	     0.5699258
 1.403	     0.5699752
 1.404	     0.5700043
 1.405	     0.5699410
 1.406	     0.5697991
 1.407	     0.5696357
 1.408	     0.5694824
 1.409	     0.5693570
 1.410	     0.5691733
 1.411	     0.5688743
 1.412	     0.5686375
 1.413	     0.5686146
 1.414	     0.5686261
 1.415	     0.5684905
 1.416	     0.5682764
 1.417	     0.5681117
 1.418	     0.5680471
 1.419	     0.5680902
 1.420	     0.5681383
 1.421	     0.5681383
 1.422	     0.5682384
 1.423	     0.5685678
 1.424	     0.5689807
 1.425	     0.5692949
 1.426	     0.5694406
 1.427	     0.5694342
 1.428	     0.5694178
 1.429	     0.5695027
 1.430	     0.5696293
 1.431	     0.5696965
 1.432	     0.5697345
 1.433	     0.5697750
 1.434	     0.5698447
 1.435	     0.5699334
 1.436	     0.5700170
 1.437	     0.5700638
 1.438	     0.5700208
 1.439	     0.5698092
 1.440	     0.5693063
 1.441	     0.5681092
 1.442	     0.5652058
 1.443	     0.5589961
 1.444	     0.5475268
 1.445	     0.5287558
 1.446	     0.5011606
 1.447	     0.4641799
 1.448	     0.4183420
 1.449	     0.3650390
 1.450	     0.3062420
 1.451	     0.2445860
 1.452	     0.1835354
 1.453	     0.1274291
 1.454	     0.0805676
 1.455	     0.0456695
 1.456	     0.0228867
 1.457	     0.0100163
 1.458	     0.0037927
 1.459	     0.0012313
 1.460	     0.0003420
 1.461	     0.0000823
 1.462	     0.0000177
 1.463	     0.0000025
 1.464	     0.0000000
 1.465	     0.0000000
 1.466	     0.0000000
