# Roman WFI Filter Transmission Curve
# Filter Name: F087
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 0.747	     0.0000000
 0.748	     0.0000000
 0.749	     0.0000000
 0.750	     0.0000177
 0.751	     0.0000874
 0.752	     0.0003876
 0.753	     0.0014618
 0.754	     0.0046022
 0.755	     0.0122927
 0.756	     0.0281703
 0.757	     0.0561519
 0.758	     0.0988382
 0.759	     0.1559744
 0.760	     0.2237185
 0.761	     0.2951565
 0.762	     0.3616656
 0.763	     0.4154221
 0.764	     0.4523470
 0.765	     0.4735717
 0.766	     0.4837400
 0.767	     0.4881877
 0.768	     0.4906338
 0.769	     0.4922806
 0.770	     0.4932332
 0.771	     0.4938754
 0.772	     0.4945608
 0.773	     0.4953297
 0.774	     0.4961696
 0.775	     0.4971057
 0.776	     0.4981191
 0.777	     0.4989881
 0.778	     0.4995607
 0.779	     0.5001535
 0.780	     0.5010580
 0.781	     0.5019536
 0.782	     0.5024945
 0.783	     0.5028175
 0.784	     0.5031216
 0.785	     0.5034193
 0.786	     0.5037017
 0.787	     0.5040539
 0.788	     0.5045543
 0.789	     0.5051953
 0.790	     0.5059097
 0.791	     0.5065456
 0.792	     0.5070143
 0.793	     0.5076325
 0.794	     0.5086244
 0.795	     0.5094199
 0.796	     0.5096137
 0.797	     0.5103915
 0.798	     0.5125666
 0.799	     0.5139955
 0.800	     0.5127199
 0.801	     0.5106208
 0.802	     0.5099304
 0.803	     0.5104929
 0.804	     0.5116051
 0.805	     0.5127085
 0.806	     0.5134254
 0.807	     0.5139689
 0.808	     0.5146048
 0.809	     0.5150545
 0.810	     0.5150773
 0.811	     0.5150254
 0.812	     0.5152420
 0.813	     0.5154611
 0.814	     0.5154181
 0.815	     0.5154333
 0.816	     0.5158475
 0.817	     0.5164416
 0.818	     0.5169344
 0.819	     0.5173258
 0.820	     0.5177261
 0.821	     0.5183405
 0.822	     0.5193248
 0.823	     0.5204091
 0.824	     0.5212515
 0.825	     0.5215543
 0.826	     0.5212946
 0.827	     0.5214390
 0.828	     0.5227134
 0.829	     0.5239890
 0.830	     0.5240941
 0.831	     0.5237306
 0.832	     0.5237952
 0.833	     0.5241208
 0.834	     0.5243982
 0.835	     0.5247959
 0.836	     0.5254813
 0.837	     0.5262540
 0.838	     0.5268481
 0.839	     0.5271471
 0.840	     0.5271648
 0.841	     0.5273763
 0.842	     0.5281326
 0.843	     0.5288167
 0.844	     0.5289091
 0.845	     0.5292942
 0.846	     0.5307472
 0.847	     0.5323357
 0.848	     0.5330527
 0.849	     0.5333656
 0.850	     0.5339344
 0.851	     0.5346906
 0.852	     0.5354520
 0.853	     0.5362285
 0.854	     0.5370354
 0.855	     0.5376612
 0.856	     0.5379716
 0.857	     0.5383554
 0.858	     0.5392155
 0.859	     0.5404139
 0.860	     0.5416667
 0.861	     0.5425484
 0.862	     0.5428436
 0.863	     0.5432502
 0.864	     0.5444637
 0.865	     0.5460915
 0.866	     0.5475927
 0.867	     0.5488531
 0.868	     0.5498766
 0.869	     0.5506367
 0.870	     0.5511510
 0.871	     0.5517768
 0.872	     0.5528092
 0.873	     0.5540608
 0.874	     0.5552211
 0.875	     0.5560876
 0.876	     0.5565766
 0.877	     0.5571263
 0.878	     0.5581258
 0.879	     0.5592507
 0.880	     0.5601450
 0.881	     0.5609760
 0.882	     0.5619135
 0.883	     0.5626114
 0.884	     0.5627711
 0.885	     0.5628319
 0.886	     0.5632600
 0.887	     0.5639276
 0.888	     0.5645851
 0.889	     0.5651817
 0.890	     0.5657062
 0.891	     0.5660989
 0.892	     0.5663484
 0.893	     0.5666778
 0.894	     0.5672288
 0.895	     0.5676620
 0.896	     0.5676380
 0.897	     0.5674277
 0.898	     0.5673682
 0.899	     0.5674543
 0.900	     0.5675911
 0.901	     0.5676886
 0.902	     0.5676734
 0.903	     0.5675126
 0.904	     0.5672845
 0.905	     0.5670907
 0.906	     0.5669615
 0.907	     0.5668842
 0.908	     0.5667905
 0.909	     0.5666208
 0.910	     0.5663991
 0.911	     0.5661685
 0.912	     0.5659823
 0.913	     0.5658683
 0.914	     0.5657632
 0.915	     0.5655997
 0.916	     0.5653489
 0.917	     0.5650398
 0.918	     0.5648080
 0.919	     0.5647548
 0.920	     0.5647244
 0.921	     0.5645838
 0.922	     0.5644255
 0.923	     0.5643811
 0.924	     0.5644077
 0.925	     0.5644394
 0.926	     0.5645116
 0.927	     0.5646446
 0.928	     0.5648029
 0.929	     0.5649676
 0.930	     0.5651880
 0.931	     0.5655047
 0.932	     0.5658328
 0.933	     0.5661103
 0.934	     0.5664143
 0.935	     0.5668336
 0.936	     0.5673124
 0.937	     0.5677900
 0.938	     0.5682866
 0.939	     0.5688249
 0.940	     0.5693088
 0.941	     0.5696838
 0.942	     0.5700740
 0.943	     0.5706073
 0.944	     0.5711190
 0.945	     0.5714661
 0.946	     0.5718107
 0.947	     0.5723225
 0.948	     0.5728558
 0.949	     0.5732586
 0.950	     0.5736576
 0.951	     0.5741986
 0.952	     0.5747319
 0.953	     0.5751068
 0.954	     0.5753994
 0.955	     0.5757225
 0.956	     0.5760987
 0.957	     0.5765167
 0.958	     0.5768993
 0.959	     0.5771742
 0.960	     0.5774377
 0.961	     0.5777848
 0.962	     0.5781369
 0.963	     0.5784220
 0.964	     0.5786791
 0.965	     0.5789477
 0.966	     0.5791731
 0.967	     0.5793036
 0.968	     0.5794810
 0.969	     0.5798205
 0.970	     0.5801638
 0.971	     0.5803259
 0.972	     0.5804348
 0.973	     0.5804906
 0.974	     0.5798661
 0.975	     0.5770272
 0.976	     0.5691214
 0.977	     0.5516298
 0.978	     0.5193615
 0.979	     0.4690848
 0.980	     0.4014243
 0.981	     0.3206426
 0.982	     0.2342580
 0.983	     0.1526327
 0.984	     0.0863466
 0.985	     0.0413447
 0.986	     0.0163793
 0.987	     0.0052697
 0.988	     0.0013567
 0.989	     0.0002762
 0.990	     0.0000431
 0.991	     0.0000051
 0.992	     0.0000000
 0.993	     0.0000000
 0.994	     0.0000000
