# Roman WFI Filter Transmission Curve
# Filter Name: F106
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 0.918	     0.0000000
 0.919	     0.0000000
 0.920	     0.0000000
 0.921	     0.0000101
 0.922	     0.0000507
 0.923	     0.0002293
 0.924	     0.0008867
 0.925	     0.0028908
 0.926	     0.0080896
 0.927	     0.0195437
 0.928	     0.0412332
 0.929	     0.0769079
 0.930	     0.1285375
 0.931	     0.1950630
 0.932	     0.2719253
 0.933	     0.3514643
 0.934	     0.4246036
 0.935	     0.4836374
 0.936	     0.5247364
 0.937	     0.5490976
 0.938	     0.5613383
 0.939	     0.5666600
 0.940	     0.5687527
 0.941	     0.5695647
 0.942	     0.5700550
 0.943	     0.5706035
 0.944	     0.5711190
 0.945	     0.5714661
 0.946	     0.5718107
 0.947	     0.5723225
 0.948	     0.5728558
 0.949	     0.5732586
 0.950	     0.5736576
 0.951	     0.5741986
 0.952	     0.5747319
 0.953	     0.5751068
 0.954	     0.5753994
 0.955	     0.5757225
 0.956	     0.5760987
 0.957	     0.5765167
 0.958	     0.5768993
 0.959	     0.5771742
 0.960	     0.5774377
 0.961	     0.5777848
 0.962	     0.5781369
 0.963	     0.5784220
 0.964	     0.5786791
 0.965	     0.5789477
 0.966	     0.5791731
 0.967	     0.5793036
 0.968	     0.5794810
 0.969	     0.5798205
 0.970	     0.5801638
 0.971	     0.5803360
 0.972	     0.5804842
 0.973	     0.5807617
 0.974	     0.5810366
 0.975	     0.5811898
 0.976	     0.5813533
 0.977	     0.5816408
 0.978	     0.5819043
 0.979	     0.5819828
 0.980	     0.5820411
 0.981	     0.5822425
 0.982	     0.5824503
 0.983	     0.5825174
 0.984	     0.5825693
 0.985	     0.5827480
 0.986	     0.5829937
 0.987	     0.5832027
 0.988	     0.5832787
 0.989	     0.5832002
 0.990	     0.5831597
 0.991	     0.5833446
 0.992	     0.5835625
 0.993	     0.5836233
 0.994	     0.5836220
 0.995	     0.5837069
 0.996	     0.5838260
 0.997	     0.5838868
 0.998	     0.5839831
 0.999	     0.5841883
 1.000	     0.5844062
 1.001	     0.5845316
 1.002	     0.5845835
 1.003	     0.5845949
 1.004	     0.5846063
 1.005	     0.5846544
 1.006	     0.5847457
 1.007	     0.5848546
 1.008	     0.5849306
 1.009	     0.5849395
 1.010	     0.5849648
 1.011	     0.5850965
 1.012	     0.5852587
 1.013	     0.5853499
 1.014	     0.5853613
 1.015	     0.5853220
 1.016	     0.5853056
 1.017	     0.5853879
 1.018	     0.5855095
 1.019	     0.5855906
 1.020	     0.5856387
 1.021	     0.5856641
 1.022	     0.5856995
 1.023	     0.5857540
 1.024	     0.5858059
 1.025	     0.5858085
 1.026	     0.5857755
 1.027	     0.5857261
 1.028	     0.5857337
 1.029	     0.5858376
 1.030	     0.5859149
 1.031	     0.5858655
 1.032	     0.5857831
 1.033	     0.5857781
 1.034	     0.5858110
 1.035	     0.5858161
 1.036	     0.5857933
 1.037	     0.5857527
 1.038	     0.5856945
 1.039	     0.5856223
 1.040	     0.5855171
 1.041	     0.5854031
 1.042	     0.5853524
 1.043	     0.5854082
 1.044	     0.5854031
 1.045	     0.5851992
 1.046	     0.5849559
 1.047	     0.5848597
 1.048	     0.5848787
 1.049	     0.5849167
 1.050	     0.5848597
 1.051	     0.5846405
 1.052	     0.5844024
 1.053	     0.5843023
 1.054	     0.5842845
 1.055	     0.5842440
 1.056	     0.5841731
 1.057	     0.5840527
 1.058	     0.5838336
 1.059	     0.5835042
 1.060	     0.5832103
 1.061	     0.5830773
 1.062	     0.5830190
 1.063	     0.5829012
 1.064	     0.5826897
 1.065	     0.5823844
 1.066	     0.5820867
 1.067	     0.5818815
 1.068	     0.5817079
 1.069	     0.5814850
 1.070	     0.5812620
 1.071	     0.5810999
 1.072	     0.5809555
 1.073	     0.5807921
 1.074	     0.5806464
 1.075	     0.5805349
 1.076	     0.5803905
 1.077	     0.5801359
 1.078	     0.5798319
 1.079	     0.5795544
 1.080	     0.5793670
 1.081	     0.5793062
 1.082	     0.5792010
 1.083	     0.5789236
 1.084	     0.5786474
 1.085	     0.5785410
 1.086	     0.5784511
 1.087	     0.5782243
 1.088	     0.5779431
 1.089	     0.5777417
 1.090	     0.5775872
 1.091	     0.5774250
 1.092	     0.5772375
 1.093	     0.5770171
 1.094	     0.5768132
 1.095	     0.5766586
 1.096	     0.5764901
