# Roman WFI Filter Transmission Curve
# Filter Name: F062
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 0.607	     0.4491269
 0.608	     0.4498148
 0.609	     0.4504368
 0.610	     0.4511449
 0.611	     0.4518973
 0.612	     0.4526308
 0.613	     0.4533098
 0.614	     0.4539305
 0.615	     0.4545246
 0.616	     0.4551225
 0.617	     0.4557192
 0.618	     0.4562778
 0.619	     0.4567516
 0.620	     0.4571088
 0.621	     0.4574103
 0.622	     0.4577321
 0.623	     0.4580792
 0.624	     0.4584263
 0.625	     0.4586821
 0.626	     0.4588075
 0.627	     0.4590052
 0.628	     0.4594701
 0.629	     0.4599970
 0.630	     0.4603644
 0.631	     0.4606545
 0.632	     0.4609661
 0.633	     0.4612587
 0.634	     0.4614652
 0.635	     0.4617021
 0.636	     0.4620821
 0.637	     0.4624660
 0.638	     0.4627092
 0.639	     0.4628612
 0.640	     0.4630221
 0.641	     0.4633020
 0.642	     0.4637593
 0.643	     0.4641900
 0.644	     0.4643915
 0.645	     0.4644510
 0.646	     0.4644979
 0.647	     0.4646473
 0.648	     0.4649805
 0.649	     0.4654353
 0.650	     0.4658938
 0.651	     0.4662777
 0.652	     0.4665247
 0.653	     0.4666716
 0.654	     0.4667780
 0.655	     0.4668794
 0.656	     0.4669959
 0.657	     0.4671935
 0.658	     0.4675064
 0.659	     0.4677978
 0.660	     0.4679435
 0.661	     0.4679853
 0.662	     0.4679903
 0.663	     0.4680030
 0.664	     0.4680499
 0.665	     0.4681423
 0.666	     0.4682817
 0.667	     0.4683995
 0.668	     0.4684312
 0.669	     0.4683704
 0.670	     0.4682412
 0.671	     0.4681423
 0.672	     0.4681626
 0.673	     0.4682209
 0.674	     0.4682336
 0.675	     0.4681702
 0.676	     0.4680119
 0.677	     0.4678003
 0.678	     0.4675685
 0.679	     0.4673189
 0.680	     0.4670567
 0.681	     0.4668528
 0.682	     0.4667464
 0.683	     0.4665906
 0.684	     0.4662675
 0.685	     0.4658824
 0.686	     0.4655670
 0.687	     0.4653580
 0.688	     0.4652250
 0.689	     0.4650312
 0.690	     0.4646625
 0.691	     0.4642597
 0.692	     0.4639570
 0.693	     0.4636922
 0.694	     0.4633780
 0.695	     0.4631095
 0.696	     0.4629917
 0.697	     0.4629347
 0.698	     0.4628587
 0.699	     0.4628397
 0.700	     0.4629448
 0.701	     0.4629891
 0.702	     0.4628245
 0.703	     0.4625838
 0.704	     0.4624444
 0.705	     0.4623507
 0.706	     0.4622494
 0.707	     0.4621987
 0.708	     0.4622772
 0.709	     0.4624571
 0.710	     0.4626763
 0.711	     0.4628257
 0.712	     0.4628371
 0.713	     0.4628105
 0.714	     0.4628853
 0.715	     0.4631678
 0.716	     0.4636973
 0.717	     0.4642065
 0.718	     0.4644662
 0.719	     0.4646169
 0.720	     0.4648538
 0.721	     0.4650958
 0.722	     0.4652478
 0.723	     0.4653707
 0.724	     0.4655214
 0.725	     0.4656468
 0.726	     0.4657190
 0.727	     0.4658318
 0.728	     0.4660889
 0.729	     0.4664208
 0.730	     0.4667198
 0.731	     0.4668895
 0.732	     0.4669047
 0.733	     0.4669427
 0.734	     0.4671733
 0.735	     0.4676318
 0.736	     0.4682716
 0.737	     0.4688783
 0.738	     0.4692799
 0.739	     0.4695409
 0.740	     0.4697980
 0.741	     0.4701388
 0.742	     0.4706163
 0.743	     0.4710521
 0.744	     0.4713105
 0.745	     0.4716006
 0.746	     0.4721099
 0.747	     0.4726267
 0.748	     0.4729839
 0.749	     0.4735350
 0.750	     0.4745180
 0.751	     0.4752932
 0.752	     0.4748131
 0.753	     0.4719616
 0.754	     0.4648538
 0.755	     0.4505166
 0.756	     0.4255549
 0.757	     0.3873784
 0.758	     0.3356424
 0.759	     0.2732453
 0.760	     0.2064500
 0.761	     0.1431978
 0.762	     0.0902976
 0.763	     0.0512939
 0.764	     0.0260308
 0.765	     0.0117265
 0.766	     0.0046655
 0.767	     0.0016316
 0.768	     0.0005004
 0.769	     0.0001305
 0.770	     0.0000291
 0.771	     0.0000063
 0.772	     0.0000000
 0.773	     0.0000000
 0.774	     0.0000000
