# Roman WFI Filter Transmission Curve
# Filter Name: F062
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 0.469	     0.0000000
 0.470	     0.0000000
 0.471	     0.0000000
 0.472	     0.0000152
 0.473	     0.0001039
 0.474	     0.0004966
 0.475	     0.0019470
 0.476	     0.0062566
 0.477	     0.0166719
 0.478	     0.0372391
 0.479	     0.0706425
 0.480	     0.1155139
 0.481	     0.1646936
 0.482	     0.2097119
 0.483	     0.2436802
 0.484	     0.2645831
 0.485	     0.2749060
 0.486	     0.2788178
 0.487	     0.2797349
 0.488	     0.2795829
 0.489	     0.2791611
 0.490	     0.2787152
 0.491	     0.2782579
 0.492	     0.2777651
 0.493	     0.2772812
 0.494	     0.2769100
 0.495	     0.2766529
 0.496	     0.2765287
 0.497	     0.2765186
 0.498	     0.2765832
 0.499	     0.2766352
 0.500	     0.2766212
 0.501	     0.2766516
 0.502	     0.2768454
 0.503	     0.2771837
 0.504	     0.2776372
 0.505	     0.2781730
 0.506	     0.2787747
 0.507	     0.2794360
 0.508	     0.2801606
 0.509	     0.2809890
 0.510	     0.2819480
 0.511	     0.2829475
 0.512	     0.2839102
 0.513	     0.2849337
 0.514	     0.2861131
 0.515	     0.2873862
 0.516	     0.2886910
 0.517	     0.2900299
 0.518	     0.2914234
 0.519	     0.2928612
 0.520	     0.2943230
 0.521	     0.2958330
 0.522	     0.2974127
 0.523	     0.2990747
 0.524	     0.3008051
 0.525	     0.3025608
 0.526	     0.3042925
 0.527	     0.3060077
 0.528	     0.3077495
 0.529	     0.3096015
 0.530	     0.3116080
 0.531	     0.3136678
 0.532	     0.3156604
 0.533	     0.3176277
 0.534	     0.3196469
 0.535	     0.3217244
 0.536	     0.3238577
 0.537	     0.3260238
 0.538	     0.3281925
 0.539	     0.3303422
 0.540	     0.3324489
 0.541	     0.3345504
 0.542	     0.3366837
 0.543	     0.3389208
 0.544	     0.3412896
 0.545	     0.3437079
 0.546	     0.3460755
 0.547	     0.3483506
 0.548	     0.3505332
 0.549	     0.3527045
 0.550	     0.3549251
 0.551	     0.3571673
 0.552	     0.3593993
 0.553	     0.3616592
 0.554	     0.3639673
 0.555	     0.3662779
 0.556	     0.3685074
 0.557	     0.3707078
 0.558	     0.3729208
 0.559	     0.3751237
 0.560	     0.3772848
 0.561	     0.3794421
 0.562	     0.3816209
 0.563	     0.3838441
 0.564	     0.3861015
 0.565	     0.3884057
 0.566	     0.3907037
 0.567	     0.3927710
 0.568	     0.3944609
 0.569	     0.3961850
 0.570	     0.3983258
 0.571	     0.4005781
 0.572	     0.4025821
 0.573	     0.4044202
 0.574	     0.4062798
 0.575	     0.4082040
 0.576	     0.4102005
 0.577	     0.4121145
 0.578	     0.4138589
 0.579	     0.4155994
 0.580	     0.4175097
 0.581	     0.4194263
 0.582	     0.4211593
 0.583	     0.4227921
 0.584	     0.4244250
 0.585	     0.4259324
 0.586	     0.4271979
 0.587	     0.4284330
 0.588	     0.4298417
 0.589	     0.4313137
 0.590	     0.4326906
 0.591	     0.4339739
 0.592	     0.4351849
 0.593	     0.4362414
 0.594	     0.4370952
 0.595	     0.4379160
 0.596	     0.4388623
 0.597	     0.4398859
 0.598	     0.4408815
 0.599	     0.4418215
 0.600	     0.4426981
 0.601	     0.4434898
 0.602	     0.4442119
 0.603	     0.4450163
 0.604	     0.4460360
 0.605	     0.4471584
 0.606	     0.4482300
