# Roman WFI Filter Transmission Curve
# Filter Name: F184
# Number of zero-pad points: 3
# Written on 2025-04-18T15:03:13-05:00
# 
# Wave	Transmittivity
# (um)	    (fraction)
 1.656	     0.0000000
 1.657	     0.0000000
 1.658	     0.0000000
 1.659	     0.0000051
 1.660	     0.0000152
 1.661	     0.0000380
 1.662	     0.0000937
 1.663	     0.0002141
 1.664	     0.0004750
 1.665	     0.0009906
 1.666	     0.0019698
 1.667	     0.0037091
 1.668	     0.0066315
 1.669	     0.0112844
 1.670	     0.0183073
 1.671	     0.0283971
 1.672	     0.0421947
 1.673	     0.0602043
 1.674	     0.0827426
 1.675	     0.1098882
 1.676	     0.1414180
 1.677	     0.1768140
 1.678	     0.2153465
 1.679	     0.2560527
 1.680	     0.2977230
 1.681	     0.3389259
 1.682	     0.3782273
 1.683	     0.4142756
 1.684	     0.4458967
 1.685	     0.4723277
 1.686	     0.4933485
 1.687	     0.5092375
 1.688	     0.5205966
 1.689	     0.5282517
 1.690	     0.5331085
 1.691	     0.5360132
 1.692	     0.5377220
 1.693	     0.5387722
 1.694	     0.5393612
 1.695	     0.5395740
 1.696	     0.5397184
 1.697	     0.5400263
 1.698	     0.5402784
 1.699	     0.5402632
 1.700	     0.5402378
 1.701	     0.5404798
 1.702	     0.5408269
 1.703	     0.5410726
 1.704	     0.5411803
 1.705	     0.5411904
 1.706	     0.5412398
 1.707	     0.5414298
 1.708	     0.5416604
 1.709	     0.5417985
 1.710	     0.5418960
 1.711	     0.5420100
 1.712	     0.5421595
 1.713	     0.5423318
 1.714	     0.5424559
 1.715	     0.5425066
 1.716	     0.5426447
 1.717	     0.5429943
 1.718	     0.5433300
 1.719	     0.5434326
 1.720	     0.5434617
 1.721	     0.5436061
 1.722	     0.5437898
 1.723	     0.5439190
 1.724	     0.5440571
 1.725	     0.5442687
 1.726	     0.5444599
 1.727	     0.5445537
 1.728	     0.5446132
 1.729	     0.5447234
 1.730	     0.5448957
 1.731	     0.5450908
 1.732	     0.5452821
 1.733	     0.5454430
 1.734	     0.5456076
 1.735	     0.5457901
 1.736	     0.5459471
 1.737	     0.5460459
 1.738	     0.5460649
 1.739	     0.5460282
 1.740	     0.5460814
 1.741	     0.5463335
 1.742	     0.5466135
 1.743	     0.5467617
 1.744	     0.5468579
 1.745	     0.5470138
 1.746	     0.5471455
 1.747	     0.5471645
 1.748	     0.5471632
 1.749	     0.5472139
 1.750	     0.5472810
 1.751	     0.5473228
 1.752	     0.5474318
 1.753	     0.5476763
 1.754	     0.5479068
 1.755	     0.5479790
 1.756	     0.5479702
 1.757	     0.5479841
 1.758	     0.5480297
 1.759	     0.5481044
 1.760	     0.5482108
 1.761	     0.5483489
 1.762	     0.5484363
 1.763	     0.5484211
 1.764	     0.5484047
 1.765	     0.5485111
 1.766	     0.5486441
 1.767	     0.5487062
 1.768	     0.5487087
 1.769	     0.5486795
 1.770	     0.5486593
 1.771	     0.5486643
 1.772	     0.5486859
 1.773	     0.5487036
 1.774	     0.5487682
 1.775	     0.5488949
 1.776	     0.5490140
 1.777	     0.5490545
 1.778	     0.5490912
 1.779	     0.5492002
 1.780	     0.5493142
 1.781	     0.5493408
 1.782	     0.5492838
 1.783	     0.5491749
 1.784	     0.5490938
 1.785	     0.5491102
 1.786	     0.5492141
 1.787	     0.5493674
 1.788	     0.5495371
 1.789	     0.5496854
 1.790	     0.5497829
